psraid,sample,int_date,lang,comp,version,form,qs1,live1,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q1i,q2a,q2b,q2c,q2d,q2e,q3a,q3b,q3c,q3d,q3e,q3f,eminuse,intmob,home3nw,bbhome1,bbhome2,device1a,smart1,smart2,snsint2,device1b,device1c,device1d,devicehha,devicehhb,devicehhc,devicehhd,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q5,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,q10g,libusea,libuseb,libusec,libmob,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,reg,oftvote,sex,age,marital,par,kidage1,educ2,emplnw,disa,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,party,partyln,ideo,hh1,hh3,ql1a,qc1,fips,usr,cregion,state,density,weight,standwt
204398,2,100816,1,1,1,2,2,4,2,1,2,1,1,1,2,3,1,4,2,1,4,4,2,1,1,1,1,1,1,1,1,1,2, , ,2,2,1,2,1,1,0,1,0,4,3,4,2,2,3,2,1,2, ,2,2,2,4,1,2,1,2,4,1,1,3,1,1,1,1,1,1,2,2,2,3, ,1,2,2,2,2,2,2,1,1,1,2,61,1,2, ,3,1,2,2,1, , , , ,99,1, ,4,2,2, ,1,39019,S,2,39,1,3.70588235294118,1.30342072715156
204402,2,100816,1,1,1,2,2,2,2,4,3,2,3,2,1,1,1,4,2,1,4,2,2,1,1,1,2,1,1,1,1,2, , , ,1,1,2,2,1,4,4,3,0,2,2,1,1,1,1,2,2,4,4,1,2,4,4,4,2,2,3,1,2,2,3,2,2,1,1,1,1,2,1,2,3, ,1,1,1,1,1,1,2,1,2, ,2,25,6,2, ,5,2,2,2,1, , , , ,3,3,2,5,3,3, ,1,48491,S,3,48,3,5.02941176470588,1.76892812970568
204404,2,100816,1,1,1,2,2,4,1,2,1,1,2,3,2,1,2,4,1,2,4,4,2,2,1,1,1,1,1,1,1,1,1, , ,1,1,2,1,1,2,6,1,0,2,1,3,3,1,3,4,1,3,2,2,2,2,3,2,3,4,1,4,2,1,3,2,2,1,1,1,1,2,2,3,3, ,1,1,1,1,2,1,1,8,1,1,2,58,1,2, ,4,5,2,2,1, , , , ,5,3,1,3,2,2, ,2,4017,R,4,4,1,2.70588235294118,.951704022999548
204405,2,100816,1,1,1,1,2,4,3,1,4,2,3,1,2,2,2,1,4,1,4,4,1,1,1,1,1,1,1,2,1,2, , ,2, ,1,1,2,1,0,0,1,0,1,4,2,4,4,4,1,2,2,3,3,2,2,2,1,4,1,1,4,1,1,3,1,1,1,2,1,1,2,2,2,3, ,1,2,2,2,2,1,2,1,1,2,2,62,5,2, ,4,3,1,2,1, , , , ,1,2, ,5,1, , ,2,47167,S,3,47,2,3.41176470588235,1.19997463769508
204407,2,100816,1,1,1,1,2,1,2,1,3,1,1,2,2,2,1,3,2,1,4,3,2,1,1,1,1,1,1,1,1,2, , ,1, ,1,2,1,1,2,1,2,0,3,1,1,1,2,3,2,1,1,3,2,1,2,2,1,2,2,3,2,3,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,2,1,2, ,2,43,1,1,1,8,1,2,2,1, , , , ,9,2, ,5,4,2, ,2,36081,U,1,36,5,2.79411764705882,.98273784983649
204408,2,100816,1,1,1,2,2,2,2,1,1,2,1,2,1,1,3,4,1,1,4,1,2,1,1,1,1,1,1,1,1,2, , , ,1,1,2,2,1,4,0,3,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,2,3,3,2,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2,2,1,1,2,1,1,1,19,6,2, ,4,1,2,1,7, , , ,3,2,2, ,4,4,4, ,1,34017,S,1,34,5,5.11764705882353,1.79996195654262
204413,2,100816,1,1,1,2,2,3,2,1,3,2,1,1,1,1,1,4,3,2,4,2,1,1,1,1,2,1,1,1,1,2, , , ,1,1,2,2,1,2,0,2,0,3,2,2,1,3,3,1,2,2,3,2,3,1,2,2,1,2,1,4,1,1,4,1,2,1,1,1,1,2,2,3,3, ,2,2,2,2,2,1,2,1,3, ,1,26,2,2, ,6,1,2,2,1, , , , ,4,3,1,3,2,2, ,1,36013,R,1,36,2,2.55882352941176,.899980978271312
204419,2,100816,1,1,1,1,2,3,2,2,4,2,1,2,2,4,3,2,2,1,2,4,2,1,1,1,1,1,1,1,1,2, , ,1, ,1,1,2,1,4,0,5,1,2,2,2,2,2,1,1,2,3,3,4,2,2,3,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,56,1,2, ,7,1,2,2,1, , , , ,6,1, ,3,5,5, ,1,42073,R,1,42,2,1.32352941176471,.465507402554127
204437,2,100816,1,1,1,2,2,1,2,1,2,1,2,1,2,3,1,2,4,1,3,4,1,1,1,1,1,1,1,1,1,2, , , ,1,1,2,1,1,2,1,2,1,1,1,1,1,3,4,1,2,2,2,2,2,2,3,2,3,2,1,4,3,2,2,2,2,1,1,1,1,2,2,3,3, ,2,2,2,2,2,2,2,2,1,1,1,71,3,2, ,4,3,1,2,1, , , , ,2,1, ,2,2,2, ,2,6061,S,4,6,2,2.47058823529412,.86894715143437
204440,2,110516,1,1,1,2,2,3,2,2,1,3,1,2,1,2,2,4,4,1,4,4,2,1,1,1,1,1,1,1,1,2, , , ,1,1,2,1,1,2,2,3,4,4,4,1,1,4,4,4,1,4,4,2,4,2,2,2,2,1,1,4,4,1,3,1,1,1,1,1,1,2,2,3,3, ,1,2,2,2,2,2,2,2,1,1,1,49,1,2, ,4,1,2,2,1, , , , ,8,1, ,2,2,2, ,2,12091,S,3,12,2,4.67647058823529,1.64479282235791
