"","source","target","Edge Weight"
"224","polymath22","james_bkelly",1
"225","bluecheddar1","your_neighbors",1
"226","SpudLovr","your_neighbors",1
"227","nedmiller","your_neighbors",1
"228","swell","your_neighbors",1
"229","unkybunky","your_neighbors",1
"230","your_neighbors","MaryErpenbach",1
"231","your_neighbors","SpudLovr",1
"232","your_neighbors","bluecheddar1",1
"233","your_neighbors","polymath22",1
"234","polymath22","your_neighbors",1
"235","walymury","MollyZilla",1
"236","legaleagle","MollyZilla",1
"237","polymath22","MollyZilla",1
"238","iluvpirates66","PolitiScoop",1
"239","iluvpirates66","sjzep",1
"240","iluvpirates66","UnitedWisconsin",1
"241","iluvpirates66","wi_defender",1
"242","iluvpirates66","polymath22",1
"243","iluvpirates66","Cops4Labor",1
"244","polymath22","iluvpirates66",1
"245","RacineTEAParty","starrick1",1
"246","starrick1","RacineTEAParty",1
"247","UniqueName099","starrick1",1
"248","HistoryL0v3r","peterflom",1
"249","HistoryL0v3r","UnitedWisconsin",1
"250","peterflom","HistoryL0v3r",1
"251","Progress2day","allwithhope",1
"252","WeRWisconsin","allwithhope",1
"253","grayner","allwithhope",1
"254","pepsibaby_04","allwithhope",1
"255","allwithhope","pepsibaby_04",1
"256","allwithhope","The_Anti_Fox",1
"257","allwithhope","grayner",1
"258","allwithhope","AlwaysThinkHow",1
"259","allwithhope","AndrewKroll",1
"260","allwithhope","LPMercer",1
"261","allwithhope","peterflom",1
"262","allwithhope","DefendWisconsin",1
"263","allwithhope","UnitedWisconsin",1
"264","allwithhope","wisaflcio",1
"265","allwithhope","WeRWisconsin",1
"266","allwithhope","WIProud",1
"267","allwithhope","Progress2day",1
"268","yiawda","PoliticalEditor",1
"269","WORLD_KIDS","PoliticalEditor",1
"270","AmyKremer","RitaGraceTP",1
"271","RitaGraceTP","Jarjarbug",1
"272","RitaGraceTP","AmyKremer",1
"273","RitaGraceTP","BadgerNative",1
"274","WrenKeturi","PolitiScoop",1
"275","WrenKeturi","AFTunion",1
"276","WrenKeturi","wisaflcio",1
"277","WrenKeturi","DefendWisconsin",1
"278","WrenKeturi","MahlonMitchell",1
"279","WrenKeturi","gjzielinski",1
"280","RafalcaRomney","Defeatmitts",1
"281","Our4thEstate","Defeatmitts",1
"282","leftnotright","Defeatmitts",1
"283","LtlRedX","Defeatmitts",1
"284","ToConservatives","Defeatmitts",1
"285","TheDailyEdge","Defeatmitts",1
"286","Badlifestyle","Defeatmitts",1
"287","polymath22","Defeatmitts",1
"288","Merlyn43","Defeatmitts",1
"289","Defeatmitts","LtlRedX",1
"290","Defeatmitts","Merlyn43",1
"291","Defeatmitts","TheDailyEdge",1
"292","Defeatmitts","leftnotright",1
"293","Defeatmitts","theonlyadult",1
"294","Defeatmitts","RafalcaRomney",1
"295","Defeatmitts","Salon",1
"296","Defeatmitts","Badlifestyle",1
"297","wisaflcio","DC14YoungLions",1
"298","DC14YoungLions","TalkingUnion",1
"299","DC14YoungLions","WIProud",1
"300","DC14YoungLions","wisaflcio",1
"301","SuesWK","DefendWisconsin",1
"302","SuesWK","Salon",1
"303","SuesWK","prwatch",1
"304","SuesWK","restorereality",1
"305","MsNatTurner","dkmnow",1
"306","dkmnow","prwatch",1
"307","txmattie","Democrat212",1
"308","wisaflcio","Democrat212",1
"309","ToConservatives","Democrat212",1
"310","Cog_Dis","Democrat212",1
"311","Democrat212","txmattie",1
"312","Democrat212","mdrfl",1
"313","Democrat212","robzerban",1
"314","Democrat212","gjzielinski",1
"315","Democrat212","JAMSRIDE",1
"316","Democrat212","55Bentley",1
"317","Democrat212","AngryBlackLady",1
"318","Democrat212","Cops4Labor",1
"319","Democrat212","peterflom",1
"320","Democrat212","theonlyadult",1
"321","Democrat212","JustABrick",1
"322","Democrat212","HnstyNgov",1
"323","Democrat212","RayBeckerman",1
"324","Democrat212","wisaflcio",1
"325","Democrat212","LPMercer",1
"326","Democrat212","ToConservatives",1
"327","Democrat212","Cog_Dis",1
"328","Democrat212","AstroSHayden",1
"329","Democrat212","Wi_Fwd",1
"330","Democrat212","The_Anti_Fox",1
"331","Democrat212","superbranch",1
"332","mdrfl","Democrat212",1
"333","RayBeckerman","Democrat212",1
"334","Our4thEstate","WORLD_KIDS",1
"335","stefsstuff","WORLD_KIDS",1
"336","justgrateful","WORLD_KIDS",1
"337","SuzanneWilliam4","WORLD_KIDS",1
"338","peterflom","WORLD_KIDS",1
"339","WORLD_KIDS","jimwitkins",1
"340","WORLD_KIDS","peterflom",1
"341","WORLD_KIDS","robzerban",1
"342","WORLD_KIDS","AndrewKroll",1
"343","WORLD_KIDS","theonlyadult",1
"344","WORLD_KIDS","Our4thEstate",1
"345","MaryErpenbach","WORLD_KIDS",1
"346","TheDailyEdge","hellolinda813",1
"347","hellolinda813","wisaflcio",1
"348","hellolinda813","SpudLovr",1
