ID,INCOME,RACE,SEX,SELF_ESTEEM
218,4700,3,1,30
219,700,3,2,24
224,0,2,2,25
227,0,2,2,17
228,0,1,2,20
231,9200,3,2,23
237,5700,3,2,26
238,1000,3,2,27
239,75,3,2,17
242,6300,3,2,27
243,12500,3,1,25
244,1300,3,2,16
247,4500,3,1,25
254,2000,3,2,28
258,4300,3,2,25
259,14200,3,1,23
260,950,3,1,28
262,6200,3,2,28
264,8000,3,2,26
267,5000,3,1,22
268,3000,3,1,27
269,3300,3,1,30
272,850,3,2,26
273,4512,3,1,30
274,1000,3,1,24
277,4500,3,1,29
278,1500,3,2,25
280,4100,3,2,27
283,14000,1,1,21
284,6000,1,1,26
285,0,1,2,23
287,103,3,2,22
290,2760,1,2,18
291,0,2,1,25
292,1700,3,2,27
293,5000,3,2,20
297,800,3,2,24
302,0,1,1,16
306,400,2,1,22
307,6100,3,2,19
309,8000,3,1,20
310,1500,3,1,22
317,2700,3,1,29
319,11000,3,2,26
321,7500,3,2,18
322,6400,3,2,26
323,1000,3,1,20
327,5000,3,2,26
333,10000,2,2,26
337,0,2,1,19
338,4000,2,2,22
339,0,2,2,25
341,1320,3,2,28
343,900,2,2,17
344,800,3,2,18
348,5000,3,1,25
349,15000,3,1,19
351,5300,3,1,23
353,9600,3,1,26
354,7000,3,2,21
357,2400,3,1,24
361,4500,3,1,20
362,1250,3,1,19
364,5000,3,1,17
368,50,2,2,19
369,1000,3,2,23
370,700,3,2,27
371,1300,3,2,29
375,6000,3,1,21
376,1850,3,1,29
377,935,2,1,24
380,15000,2,1,23
381,6500,2,1,30
382,500,2,2,28
385,2600,2,2,27
392,11358,3,1,26
397,0,2,2,18
398,5300,2,1,28
399,3800,3,2,30
402,6000,3,2,20
403,3000,3,1,18
404,2300,3,1,18
405,3500,3,2,18
408,4500,3,1,25
409,1757,3,1,21
410,1700,3,1,24
413,500,3,1,19
416,13000,3,2,29
417,4000,3,1,26
421,1200,3,1,24
422,1600,3,1,24
423,0,3,2,21
424,14000,3,1,29
426,10900,1,1,23
428,2200,3,2,28
429,1700,3,1,23
432,4000,3,1,17
433,3400,3,1,13
437,6900,3,2,21
442,850,3,2,19
446,7000,3,2,28
449,4000,3,2,28
453,6200,3,1,21
455,1100,3,2,22
456,2000,3,1,30
457,940,3,1,27
462,1959,3,2,23
463,13500,3,1,23
464,9500,3,1,24
466,5000,3,1,27
467,1080,3,2,27
468,7700,3,1,28
471,4000,3,2,17
474,250,3,2,19
478,0,3,2,21
480,1908,3,1,24
481,5000,3,1,25
482,1500,3,1,22
483,8200,3,1,16
487,1560,3,2,22
489,800,3,1,26
490,13740,3,1,26
491,1500,3,2,18
494,7000,3,2,29
495,2900,3,2,24
497,15000,3,1,20
498,8500,3,1,24
502,2300,3,1,26
503,1000,3,2,24
505,4500,3,1,20
512,7000,3,1,24
520,8500,2,1,30
521,2042,2,1,30
