"","Account","User Name","Followers at Posting","Post Created","Post Created Date","Post Created Time","Type","Total Interactions","Likes","Comments","Views","Like and View Counts Disabled","URL","Link","Photo","Title","Description","Image Text","Sponsor Id","Sponsor Name","Overperforming Score (weighted  —  Likes 1x Comments 1x )"
"21","Climate Reality","climatereality","330999","2022-10-07 05:25:10 EDT",2022-10-07,19510,"Album",162,162,0,0,FALSE,"https://www.instagram.com/p/CjaEpert-Lm/","https://www.instagram.com/p/CjaEpert-Lm/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310804822_682049609662113_6180344404694722746_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vVGe6zV8pUcAX_8gjTO&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9bojN-UeOOjhoDDCJ7kQmoWgAh3qVr4xJ3EclvYT8GhQ&oe=634823B4",NA,"Where would the climate movement be without activists like you? If you're looking for inspiration, look no further than these stories. Stay tuned to #24HoursofReality for more!",NA,NA,NA,-7.92
"22","Climate Reality","climatereality","330999","2022-10-07 03:25:10 EDT",2022-10-07,12310,"Album",149,149,0,0,FALSE,"https://www.instagram.com/p/CjZ26jhshHB/","https://www.instagram.com/p/CjZ26jhshHB/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310691536_2171162853063234_7210257281345204003_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Mc3S3fKV7IwAX_gTjdC&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-aZHp--kNeKrEXw0xWbOJEEnrs8BBqjA3RSv2fy4-FgQ&oe=6349BA73",NA,"Sometimes, all we need is a guiding hand to show us solutions! Aaron and Barbara are two activists using education to empower their communities to take action, and so can you. Swipe through for more! #SpotlightonSolutions #24HoursofReality",NA,NA,NA,-8.66
"23","Climate Reality","climatereality","330999","2022-10-07 01:40:17 EDT",2022-10-07,6017,"Album",189,188,1,0,FALSE,"https://www.instagram.com/p/CjZq6FjolQu/","https://www.instagram.com/p/CjZq6FjolQu/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310550663_416125363930834_8569386262191790322_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TifgZ6qowwkAX_XCuMi&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8b294NTh9ocUGNSDYeswAIv2O5np-CEBOZ8tdlHGtVXQ&oe=634A682F",NA,"This #24HoursofReality, we're celebrating everyday activists who are stepping up to meet the needs of their communities. For this #SpotlightonSolutions, check out how these advocates are showing how hard work pays off! #24HoursofReality",NA,NA,NA,-6.83
"24","Climate Reality","climatereality","330999","2022-10-07 00:45:24 EDT",2022-10-07,2724,"Album",258,256,2,0,FALSE,"https://www.instagram.com/p/CjZkoKBIhla/","https://www.instagram.com/p/CjZkoKBIhla/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310761502_1104423160203274_2080502910698547424_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=AcXiPztw7FgAX80W4Xe&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-OsX2tDiRzSf0sJ5RsDnrRwJZ2VMxPW2ghZW87uyl0wA&oe=634A6F30",NA,"Another hour, another #SpotlightonSolutions! Climate activists are educating and engaging their communities - and so can you! Keep watching #24HoursofReality to hear more!",NA,NA,NA,-5
"25","Climate Reality","climatereality","330999","2022-10-07 00:15:21 EDT",2022-10-07,921,"Album",186,185,1,0,FALSE,"https://www.instagram.com/p/CjZhL7Nq86P/","https://www.instagram.com/p/CjZhL7Nq86P/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310817614_5187692494690311_7351391399199923325_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Lrl6_rxQZ-wAX94a3W-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-SQev95BQ3NsjpKWPHYNuJavZ7wNHZxuZwX-s31qTlRg&oe=63496368",NA,"There are so many ways to help your community combat the #climatecrisis. Check out Susan and Jean's #SptolightonSolutions stories for just two ways you can get your community involved in tackling climate change. #24HoursofReality",NA,NA,NA,-6.94
"26","Climate Reality","climatereality","330999","2022-10-06 23:45:16 EDT",2022-10-06,85516,"Album",230,230,0,0,FALSE,"https://www.instagram.com/p/CjZdvxtKSsM/","https://www.instagram.com/p/CjZdvxtKSsM/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311353950_3330049300566812_3132815271699202943_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zAebqtb76XcAX_3dV_2&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9CakfqD4TPZks0XnulDR9ydqI3vfaeEGw1zU8PYxDQ4w&oe=634A313B",NA,"It's time for more #SpotlightonSolutions stories! Beverly and Cindy know how to #LeadOnClimate, starting with their own families. Take a look and learn how you can too! #24HoursofReality",NA,NA,NA,-5.61
"27","Climate Reality","climatereality","330999","2022-10-06 22:25:18 EDT",2022-10-06,80718,"Album",303,301,2,0,FALSE,"https://www.instagram.com/p/CjZUl3doJ-6/","https://www.instagram.com/p/CjZUl3doJ-6/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311126376_182873917610818_5828590937894571832_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=uFd-USnmj5oAX8UTPdQ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9MVLgVhCSWDMvwwDsLYIF-97IA8DdGP9LwnDU8Mo9mdQ&oe=63492F22",NA,"There are so many ways to tackle the #climatecrisis! Take a look at our next #SpotlightonSolutions story to learn how activists are tackling recycling and promoting climate education through reading. #24HoursofReality.",NA,NA,NA,-4.26
"28","Climate Reality","climatereality","330999","2022-10-06 21:30:25 EDT",2022-10-06,77425,"Album",302,298,4,0,FALSE,"https://www.instagram.com/p/CjZOUEEKprf/","https://www.instagram.com/p/CjZOUEEKprf/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311168615_647452886976685_3831105223407351846_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4_INRfzSj7EAX-Y_PYl&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8t5YKpqA84RtuCyu-xEAA2KrjJnUaxob-VO7_elzgEdw&oe=63495DC4",NA,"For #24HoursofReality, your stories are taking center stage. We're kicking off our first #SpotlightonSolutions stories from climate activists just like you! We'll be sharing them every hour, so stay tuned for more fantastic stories like these!",NA,NA,NA,-4.27
"29","Climate Reality","climatereality","330999","2022-10-06 21:01:44 EDT",2022-10-06,75704,"Video",1160,1154,6,6537,FALSE,"https://www.instagram.com/p/CjZK7b_KbLw/","https://www.instagram.com/p/CjZK7b_KbLw/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310680651_628677165598344_3123273801190980918_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=no42qGjAOCgAX__hwTk&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8LqAHT0nlHpKp-zrRGLJ-IPQyz0KndlpC_NV70f8_ueA&oe=63498914",NA,"It’s official, #24HoursofReality: Spotlight on Solutions and Hope has begun! For the next 24 hours straight, we’ll shine a #SpotlightOnSolutions by sharing stories from around the world through global dialogues and community and personal stories submitted by YOU! Tune in all day, and check out the 24hoursofreality.org website. Link is in our bio. #24HoursofHope",NA,NA,NA,1.8
"30","Climate Reality","climatereality","330891","2022-10-04 14:25:02 EDT",2022-10-04,51902,"Video",258,255,3,1707,FALSE,"https://www.instagram.com/p/CjTT8CasV-A/","https://www.instagram.com/p/CjTT8CasV-A/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310967669_3303426103279154_3540942966870662704_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=8ZVoxJendw0AX-YzbAN&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8j-wo3rYpUE54IlPsH4WWwWHOkyJaBcgvXemtAxCZoXA&oe=6349AFD1",NA,"Only 2 days left until our biggest event of the year, #24HoursofReality: Spotlight on Solutions and Hope! We are so excited to share your stories and solutions for 24 hours, starting at 9 PM ET on October 6. We have a lot to celebrate this year, and that includes all of the progress on climate we've made. But there's still so much work to do. For 24 hours, we'll talk about everything from green communities to advancing natural solutions, so join us! 
#SpotlightonSolutions www.24hoursofreality.org","WE HAVE HOPE FOR ADVANCING NATURAL SOLUTIONS.",NA,NA,-2.55
